cycle,Year,Larvae,Juveniles,Adults,Total
129,10.25,63,933,234,1230
130,10.3333,21,701,281,1003
131,10.4167,9,458,366,833
132,10.5,0,228,479,707
133,10.5833,15,90,541,646
134,10.6667,172,25,545,742
135,10.75,485,22,508,1015
136,10.8333,847,147,464,1458
137,10.9167,1174,371,407,1952
138,11.0,1093,674,343,2110
139,11.0833,613,961,284,1858
140,11.1667,216,1022,227,1465
141,11.25,44,882,235,1161
142,11.3333,8,664,263,935
143,11.4167,6,450,338,794
144,11.5,12,236,463,711
145,11.5833,30,76,542,648
146,11.6667,96,29,544,669
147,11.75,419,31,510,960
148,11.8333,850,84,470,1404
149,11.9167,1138,343,421,1902
150,12.0,1092,642,356,2090
151,12.0833,667,923,279,1869
152,12.1667,265,1023,216,1504
153,12.25,74,893,200,1167
154,12.3333,14,694,251,959
155,12.4167,0,467,338,805
156,12.5,4,248,459,711
157,12.5833,26,108,535,669
158,12.6667,118,37,547,702
159,12.75,438,28,526,992
160,12.8333,914,90,483,1487
161,12.9167,1222,338,427,1987
162,13.0,1153,685,348,2186
163,13.0833,721,969,280,1970
164,13.1667,284,1089,234,1607
165,13.25,72,963,204,1239
166,13.3333,7,729,259,995
167,13.4167,1,486,350,837
168,13.5,4,252,472,728
169,13.5833,15,91,558,664
170,13.6667,119,27,562,708
171,13.75,408,12,529,949
172,13.8333,822,98,487,1407
173,13.9167,1159,314,423,1896
174,14.0,1120,649,359,2128
175,14.0833,657,959,278,1894
176,14.1667,250,1052,237,1539
177,14.25,81,910,239,1230
178,14.3333,6,698,279,983
179,14.4167,2,468,367,837
180,14.5,6,247,487,740
181,14.5833,32,89,551,672
182,14.6667,169,40,540,749
183,14.75,464,27,527,1018
184,14.8333,912,130,469,1511
185,14.9167,1230,361,408,1999
186,15.0,1046,692,337,2075
187,15.0833,599,986,268,1853
188,15.1667,254,1029,231,1514
189,15.25,79,896,211,1186
190,15.3333,18,690,253,961
191,15.4167,0,467,346,813
192,15.5,1,242,464,707
193,15.5833,23,106,527,656
194,15.6667,110,31,554,695
195,15.75,417,30,520,967
196,15.8333,957,94,485,1536
197,15.9167,1296,340,422,2058
198,16.0,1145,721,355,2221
199,16.0833,673,1033,283,1989
200,16.1667,256,1094,217,1567
201,16.25,61,962,206,1229
202,16.3333,1,741,242,984
203,16.4167,0,459,357,816
204,16.5,8,245,466,719
205,16.5833,25,79,558,662
206,16.6667,114,35,554,703
207,16.75,431,22,544,997
208,16.8333,944,97,497,1538
209,16.9167,1301,338,436,2075
210,17.0,1135,701,381,2217
211,17.0833,677,1022,310,2009
212,17.1667,293,1062,252,1607
